Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD,,,2018-10-04 19:11:43,2018-10-04 19:12:30,47.180s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-04 19:11:43,2018-10-04 19:12:13,29.628s,PASSED
startApplication,,,2018-10-04 19:11:44,2018-10-04 19:12:13,29.261s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-04 19:12:13,2018-10-04 19:12:30,16.684s,FAILED
tap,,,2018-10-04 19:12:13,2018-10-04 19:12:17,3.554s,PASSED
swipe,,,2018-10-04 19:12:17,2018-10-04 19:12:20,2.746s,PASSED
tap,,,2018-10-04 19:12:20,2018-10-04 19:12:22,2.821s,PASSED
tap,,,2018-10-04 19:12:22,2018-10-04 19:12:30,7.227s,FAILED
