Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD ONLINE,,,2018-10-31 19:06:30,2018-10-31 19:07:34,1m - 3.289s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-31 19:06:31,2018-10-31 19:07:04,32.983s,PASSED
startApplication,,,2018-10-31 19:06:31,2018-10-31 19:07:04,32.604s,PASSED
,,,,,,
Test Cases/DONA 1st bod,,,2018-10-31 19:07:04,2018-10-31 19:07:33,29.308s,FAILED
delay,,,2018-10-31 19:07:04,2018-10-31 19:07:19,15.048s,PASSED
tap,,,2018-10-31 19:07:19,2018-10-31 19:07:24,4.402s,PASSED
tap,,,2018-10-31 19:07:24,2018-10-31 19:07:27,3.580s,PASSED
tap,,,2018-10-31 19:07:27,2018-10-31 19:07:33,5.784s,FAILED
