Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD,,,2018-10-04 19:14:06,2018-10-04 19:14:51,44.879s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-04 19:14:06,2018-10-04 19:14:36,29.151s,PASSED
startApplication,,,2018-10-04 19:14:07,2018-10-04 19:14:36,28.785s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-04 19:14:36,2018-10-04 19:14:50,14.801s,FAILED
tap,,,2018-10-04 19:14:36,2018-10-04 19:14:39,2.832s,PASSED
swipe,,,2018-10-04 19:14:39,2018-10-04 19:14:42,2.683s,PASSED
tap,,,2018-10-04 19:14:42,2018-10-04 19:14:44,2.808s,PASSED
tap,,,2018-10-04 19:14:44,2018-10-04 19:14:50,6.096s,FAILED
