Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD,,,2018-10-04 19:00:28,2018-10-04 19:01:14,46.511s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-04 19:00:28,2018-10-04 19:00:58,29.744s,PASSED
startApplication,,,2018-10-04 19:00:29,2018-10-04 19:00:58,29.333s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-04 19:00:58,2018-10-04 19:01:14,15.834s,FAILED
tap,,,2018-10-04 19:00:58,2018-10-04 19:01:02,3.850s,PASSED
swipe,,,2018-10-04 19:01:02,2018-10-04 19:01:05,2.714s,PASSED
tap,,,2018-10-04 19:01:05,2018-10-04 19:01:07,2.467s,PASSED
tap,,,2018-10-04 19:01:07,2018-10-04 19:01:14,6.300s,FAILED
