Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD,,,2018-10-04 19:05:35,2018-10-04 19:06:21,46.047s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-04 19:05:36,2018-10-04 19:06:06,29.945s,PASSED
startApplication,,,2018-10-04 19:05:36,2018-10-04 19:06:06,29.585s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-04 19:06:06,2018-10-04 19:06:21,15.244s,FAILED
tap,,,2018-10-04 19:06:06,2018-10-04 19:06:10,3.724s,PASSED
swipe,,,2018-10-04 19:06:10,2018-10-04 19:06:12,2.754s,PASSED
tap,,,2018-10-04 19:06:12,2018-10-04 19:06:15,2.695s,PASSED
tap,,,2018-10-04 19:06:15,2018-10-04 19:06:21,5.778s,FAILED
