Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD,,,2018-10-04 19:03:18,2018-10-04 19:04:03,45.283s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-04 19:03:18,2018-10-04 19:03:48,29.896s,PASSED
startApplication,,,2018-10-04 19:03:19,2018-10-04 19:03:48,29.528s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-04 19:03:48,2018-10-04 19:04:03,14.522s,FAILED
tap,,,2018-10-04 19:03:48,2018-10-04 19:03:51,2.930s,PASSED
swipe,,,2018-10-04 19:03:51,2018-10-04 19:03:54,2.676s,PASSED
tap,,,2018-10-04 19:03:54,2018-10-04 19:03:57,2.849s,PASSED
tap,,,2018-10-04 19:03:57,2018-10-04 19:04:03,5.752s,FAILED
