Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD ONLINE,,,2018-10-10 17:39:26,2018-10-10 17:40:25,58.739s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-10 17:39:27,2018-10-10 17:39:57,30.460s,PASSED
startApplication,,,2018-10-10 17:39:27,2018-10-10 17:39:57,30.019s,PASSED
,,,,,,
Test Cases/DONA 1st bod,,,2018-10-10 17:39:57,2018-10-10 17:40:25,27.466s,FAILED
delay,,,2018-10-10 17:39:58,2018-10-10 17:40:05,7.043s,PASSED
tap,,,2018-10-10 17:40:05,2018-10-10 17:40:09,3.905s,PASSED
tap,,,2018-10-10 17:40:09,2018-10-10 17:40:13,3.943s,PASSED
tap,,,2018-10-10 17:40:13,2018-10-10 17:40:15,2.578s,PASSED
tap,,,2018-10-10 17:40:15,2018-10-10 17:40:23,7.300s,PASSED
tap,,,2018-10-10 17:40:23,2018-10-10 17:40:25,2.323s,FAILED
