Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD,,,2018-10-04 19:12:56,2018-10-04 19:13:42,45.404s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-04 19:12:57,2018-10-04 19:13:27,30.056s,PASSED
startApplication,,,2018-10-04 19:12:57,2018-10-04 19:13:27,29.673s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-04 19:13:27,2018-10-04 19:13:41,14.429s,FAILED
tap,,,2018-10-04 19:13:27,2018-10-04 19:13:30,2.711s,PASSED
swipe,,,2018-10-04 19:13:30,2018-10-04 19:13:32,2.695s,PASSED
tap,,,2018-10-04 19:13:32,2018-10-04 19:13:35,2.527s,PASSED
tap,,,2018-10-04 19:13:35,2018-10-04 19:13:41,6.179s,FAILED
