Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DONA 1st BOD,,,2018-10-04 18:59:17,2018-10-04 19:00:02,45.525s,FAILED
,,,,,,
Test Cases/Open,,,2018-10-04 18:59:17,2018-10-04 18:59:47,29.660s,PASSED
startApplication,,,2018-10-04 18:59:17,2018-10-04 18:59:47,29.299s,PASSED
,,,,,,
Test Cases/DONA Offline 1st bod,,,2018-10-04 18:59:47,2018-10-04 19:00:02,14.933s,FAILED
tap,,,2018-10-04 18:59:47,2018-10-04 18:59:50,2.996s,PASSED
swipe,,,2018-10-04 18:59:50,2018-10-04 18:59:53,2.634s,PASSED
tap,,,2018-10-04 18:59:53,2018-10-04 18:59:55,2.726s,PASSED
tap,,,2018-10-04 18:59:55,2018-10-04 19:00:02,6.269s,FAILED
